gene_id,C_t1_1,LPS_t1_1,C_t1_2,LPS_t1_2,C_t1_3,LPS_t1_3,C_t1_4,LPS_t1_4,control,lps,FDR,AveExpr,P value,C_t1_1 CPM,C_t1_2 CPM,C_t1_3 CPM,C_t1_4 CPM,LPS_t1_1 CPM,LPS_t1_2 CPM,LPS_t1_3 CPM,LPS_t1_4 CPM
ENSMUSG00000016496,1998,27161,2042,41836,2036,34028,4104,33812,0,4.51657455045312,2.0921666727004e-10,7.48436034649434,8.87684203481626e-13,41.071,44.973,35.229,64.513,584.759,837.838,704.515,728.908
ENSMUSG00000037826,151,2441,100,2495,175,2586,150,2416,0,4.85369116443852,2.16518913979634e-10,3.55438064714515,9.28545002695634e-13,3.104,2.202,3.028,2.358,52.553,49.967,53.541,52.083
ENSMUSG00000040483,1020,10638,685,10675,684,10324,802,11136,0,4.49091646505839,2.35071302100011e-10,5.84460899382571,1.01883177606191e-12,20.967,15.087,11.835,12.607,229.029,213.785,213.748,240.066
ENSMUSG00000090523,434,3271,309,3098,358,2856,476,2728,0,3.65602982706899,2.35566412670455e-10,4.41548802857566,1.03172478746128e-12,8.921,6.805,6.194,7.483,70.423,62.043,59.131,58.809
ENSMUSG00000007655,429,6041,373,8029,361,7952,759,6598,0,4.6571738601748,2.39748581710654e-10,5.15910699938411,1.06097962616604e-12,8.819,8.215,6.246,11.931,130.059,160.795,164.638,142.237
ENSMUSG00000031652,2168,13720,1803,15525,2281,14641,3786,12625,0,3.25669734022454,2.40604881970345e-10,6.85092829736054,1.07574608481654e-12,44.565,39.710,39.468,59.515,295.383,310.915,303.127,272.165
ENSMUSG00000017009,18373,321842,17302,267954,14463,293471,14320,281270,0,4.89783483094503,2.60908389241567e-10,10.3999696396515,1.17842650371436e-12,377.675,381.062,250.252,225.105,6929.051,5366.240,6076.020,6063.523
ENSMUSG00000029798,395,4176,318,5841,291,5315,419,4956,0,4.56303640616017,2.67187758991e-10,4.72144733844314,1.23039901274111e-12,8.120,7.004,5.035,6.587,89.907,116.976,110.042,106.840
ENSMUSG00000029385,885,6553,636,7179,832,7079,925,5116,0,3.7034990372984,2.67187758991e-10,5.49944628597128,1.23116764715959e-12,18.192,14.007,14.396,14.541,141.082,143.772,146.564,110.289
ENSMUSG00000006818,5183,40417,5296,39172,6617,50794,7086,44528,0,3.57469324189143,3.0065510856687e-10,8.32078166090755,1.41281427904501e-12,106.542,116.640,114.493,111.389,870.152,784.487,1051.638,959.920
ENSMUSG00000029561,2502,23755,1874,36171,1623,27462,2951,26304,0,4.40379187469972,3.0065510856687e-10,7.27475305846372,1.40988155930124e-12,51.431,41.273,28.083,46.389,511.430,724.387,568.573,567.053
ENSMUSG00000033213,156,10064,168,9002,204,12769,166,13807,0,6.75769183806823,3.67831659539942e-10,4.78829430122234,1.74526632566057e-12,3.207,3.700,3.530,2.609,216.671,180.281,264.369,297.647
ENSMUSG00000037731,1557,13635,1251,20154,1787,17510,2834,17842,0,3.97848674671949,3.76222309262918e-10,6.76970510862038,1.81940621295996e-12,32.006,27.552,30.920,44.549,293.553,403.619,362.527,384.632
ENSMUSG00000072889,1082,6739,961,7973,1306,7599,1962,7157,0,3.23125662318137,3.76222309262918e-10,5.92416667642662,1.81526490786688e-12,22.242,21.165,22.598,30.842,145.086,159.673,157.330,154.288
ENSMUSG00000091649,703,8010,532,10528,527,10785,759,12236,0,4.76482001076779,3.94976287774216e-10,5.64626175208831,1.92812002335148e-12,14.451,11.717,9.119,11.931,172.450,210.841,223.293,263.780
ENSMUSG00000027962,247,4281,261,4399,343,5544,516,4738,0,4.54616741457739,4.03504576084324e-10,4.62131776451327,1.98816069241786e-12,5.077,5.748,5.935,8.111,92.167,88.098,114.783,102.140
